id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,9038.082814338286,1000.0,908.3500315917876,0.18,360.0,327.0060113730435,1072.0,973.7512338663962,1.100897192955017,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,10900.20037910145,12000.0,10900.20037910145,0.2,324.0,294.30541023573915,959.0,871.1076802965242,1.100897192955017,10.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,8924.29980495201,10000.0,8924.29980495201,0.13,340.0,303.42619336836833,3726.0,3325.194107325119,1.1205360889434814,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,24707.12085929662,27200.0,24707.12085929662,0.28,553.0,502.3175674702585,41913.0,38071.67487410659,1.100897192955017,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,10526.076488797169,11400.0,10526.076488797169,0.28,376.0,347.17585612173116,3753.0,3465.295180917173,1.0830246210098267,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,13496.099961290816,15000.0,13496.099961290816,0.15,361.0,324.806139068399,2880.0,2591.251192567837,1.1114321947097778,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,9717.191972129389,10800.0,9717.191972129389,0.28,328.0,295.1147191535592,2950.0,2654.232992387194,1.1114321947097778,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,15946.200996660373,18000.0,15946.200996660373,0.28,370.0,327.7830204869077,4432.0,3926.309045399932,1.1287955045700073,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,9236.65029812533,1000.0,892.429980495201,0.22,291.0,259.6971243241035,1432.0,1277.959732069128,1.1205360889434814,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,6247.009863466407,7000.0,6247.009863466407,0.28,233.0,207.93618545538183,7300.0,6514.738857614968,1.1205360889434814,2.0,1.0,36.0,11.0,1.0,2.0
